,year,country,cons_final,gfcf_final,nom_exports,nom_imports,DA_index,FA_components,FA,Unit,real_exports,real_imports,TR,RA,FMI,DMI,RMI,R,log_RA,log_TR,log_R,log_RMI,log_DMI,log_FMI
1,1980,India,163650,36801.03125,11482.98047,17291.23047,100,NA,100,US$,16918412460,17745424243,0.664092731,1,169184124.6,177454242.4,0.953395773,0.696555146,0,-0.409333484,-0.361608314,-0.04772517,18.99422334,18.94649817
2,1981,India,171146,39643.89063,11844.98047,17103.38086,105.157798,0.024218567,102.4218567,US$,16780200187,19525187445,0.692551991,0.973982516,163834173,185675126.4,0.882370063,0.805843035,-0.026361927,-0.367371966,-0.215866301,-0.125143738,19.03950907,18.91436533
3,1982,India,174385.4063,42951.80859,12229.33984,16642.81055,108.4240941,0.010277314,103.4744783,US$,17790453485,20199620635,0.734812177,0.954349484,171930835.3,186301954.3,0.922861147,0.834319778,-0.046725339,-0.308140354,-0.181138523,-0.080276492,19.04287933,18.96260283
4,1983,India,190856.7031,45842.30078,13010.33008,17501.91016,118.0832059,0.012368531,104.7543056,US$,17627685375,24640341008,0.743366293,0.887122811,168276475.9,208669309.3,0.806426572,1.039092687,-0.119771849,-0.296566363,0.038347916,-0.21514243,19.1562613,18.94111887
5,1984,India,188566.7031,46276.73828,13945.76953,17147.50977,117.1575122,0.009915272,105.792973,US$,18914127758,21109364890,0.813282495,0.902997776,178784348.5,180179354.2,0.992257683,0.907674791,-0.102035188,-0.206676757,-0.096869125,-0.007772444,19.00946333,19.00169088
6,1985,India,193026.7969,50156.89844,12087.71973,17587.86914,121.318256,0.010068796,106.8581809,US$,17719717447,24037425733,0.687275964,0.880808745,165824622,198135272.6,0.836926307,0.932314243,-0.126914765,-0.375019372,-0.070085351,-0.178019257,19.10446055,18.92644129
7,1986,India,213852.5,57814.35156,13118.08984,17729.99023,135.5277894,0.094522874,116.9587233,US$,18682320014,28143972078,0.739881391,0.862987021,159734301.9,207662002,0.769203323,1.114593969,-0.147355627,-0.301265388,0.108490185,-0.262399946,19.15142233,18.88902238
8,1987,India,232780,68242.75,15647.11035,19487.71094,150.1727121,0.073769324,125.5866892,US$,21060070915,27674468866,0.802921924,0.836281689,167693495.6,184284271.7,0.909971828,1.055097956,-0.178789775,-0.219497801,0.053633612,-0.094341638,19.03199008,18.93764844
9,1988,India,252130.5,72723.10938,18619.56055,23000.50977,162.0613311,0.069714928,134.3419562,US$,22633903357,30218990548,0.809528169,0.828957502,168479781,186466385,0.903539697,1.080817731,-0.187586389,-0.211303709,0.077717913,-0.101435233,19.04376154,18.94232631
10,1989,India,242405.9063,74716.90625,21330.00977,24783.21094,158.2046301,0.026793242,137.9414128,US$,25345248834,30848866370,0.86066369,0.871917672,183739229,194993448.4,0.942284115,1.047553304,-0.137060272,-0.150051455,0.046457258,-0.059448441,19.08847652,19.02902808
11,1990,India,257915.7031,85846.70313,23215.35938,27821.85938,171.4944563,0.085953017,149.7978934,US$,28159691262,31887184534,0.834428751,0.873485339,187984561.2,185937115.5,1.011011495,0.944881935,-0.135263933,-0.181007919,-0.056695296,0.01095131,19.04091909,19.0518704
12,1991,India,227418.2031,71589.67188,24735.25977,24733.06055,149.1675414,0.039411742,155.7016893,US$,30880561260,31892031541,1.000088918,1.043804086,198331575,213800075,0.927649698,1.032846102,0.042871815,8.89E-05,0.032318197,-0.075101098,19.18055191,19.10545081
13,1992,India,225143.2031,73686.10156,25971.06055,28165.66016,149.0784571,0.049276711,163.3741564,US$,32391622551,38630205260,0.922082437,1.095893796,198266502.3,259126677.3,0.765133503,1.099674267,0.091570283,-0.081120649,0.095014015,-0.267704947,19.3728276,19.10512265
14,1993,India,219633,67991.27344,28251.13086,28202.59961,143.4885476,0.013608456,165.5974263,US$,36855056551,46073189201,1.001720808,1.154081138,222558148.2,321093146.2,0.693126437,1.252269746,0.143304476,0.001719329,0.224957701,-0.366542848,19.58724181,19.22069897
15,1994,India,246550.2031,76506.3125,32386,33375.03906,161.164806,0.049711744,173.8295632,US$,41662306695,56486464056,0.970365905,1.078582648,239673309.4,350488828.6,0.683825817,1.3156386,0.075647816,-0.030082056,0.274322175,-0.380052048,19.67483939,19.29478734
16,1995,India,276014.1875,93454.72656,40316,44701.21875,184.3187894,0.072660168,186.4600485,US$,54742634958,72373778204,0.901899347,1.011617151,293589084.6,392655455.6,0.747701529,1.192377081,0.01155019,-0.103252354,0.175948862,-0.290751406,19.78844308,19.49769168
17,1996,India,294786.9063,96541.07031,40880.89844,45443.85938,195.2237283,0.03266198,192.5502028,US$,58185799131,70607866903,0.899591254,0.986305325,302185083.6,361676664.7,0.835511696,1.091644705,-0.013789312,-0.105814781,0.087685463,-0.179710932,19.70626118,19.52655025
18,1997,India,318905.8125,107875.8984,45493.82031,50761.85938,212.9107086,0.010526178,194.5770205,US$,56831131181,79928588373,0.896220526,0.913890249,292075246.2,375408963.3,0.77801884,1.26046482,-0.090044792,-0.109568773,0.231480557,-0.251004539,19.74352656,19.49252202
