country,year,cons_final,hh_cons,govt_cons,gdcf,gfcf,inventories,exports,imports,gdp,exports_real,imports_real,fa,C_g,I_g,C_cap,I_cap,DA_growth,DA,DMI,FMI,TR,RMI,RA,R,R_log,RMI_log,RA_log,TR_log,TR_estimate,ES_log
India,1970,5.53E+10,4.97E+10,5.59E+09,1.02E+10,9.70E+09,5.30E+08,2.36E+09,2.42E+09,6.24E+10,8.03E+09,9.06E+09,100,,,,,,100,9.06E+07,8.03E+07,0.9752203,0.8864354,1,1.100159,0.0954551,-0.120547,0,-0.0250919,-0.025092,-0.025092
India,1971,6.02E+10,5.37E+10,6.47E+09,1.16E+10,1.11E+10,4.92E+08,2.45E+09,2.68E+09,6.69E+10,8.11E+09,1.07E+10,108.8432,0.087684,0.1441037,0.8508549,0.1491451,0.0960987,109.6099,9.75E+07,7.45E+07,0.9162512,0.7642823,0.9930053,1.207283,0.1883727,-0.2688181,-0.0070193,-0.0874647,-0.0874647,-0.0804454
India,1972,6.52E+10,5.84E+10,6.79E+09,1.16E+10,1.24E+10,-8.56E+08,2.93E+09,2.70E+09,7.27E+10,8.78E+09,1.05E+10,123.155,0.083196,0.1179812,0.8443229,0.1556771,0.0886112,119.3225,8.79E+07,7.13E+07,1.085896,0.8112123,1.032119,1.296952,0.2600167,-0.2092255,0.0316139,0.082405,0.0824051,0.0507912
India,1973,7.64E+10,6.91E+10,7.30E+09,1.63E+10,1.38E+10,2.47E+09,3.66E+09,4.10E+09,8.69E+10,9.22E+09,1.13E+10,144.1695,0.1713682,0.1137509,0.8401228,0.1598772,0.1621565,138.6715,8.17E+07,6.39E+07,0.8910579,0.7821508,1.039648,1.095795,0.0914799,-0.2457077,0.038882,-0.1153459,-0.1153457,-0.1542278
India,1974,8.84E+10,8.00E+10,8.47E+09,1.86E+10,1.63E+10,2.28E+09,4.73E+09,5.90E+09,9.80E+10,9.97E+09,9.89E+09,160.7355,0.1579403,0.177551,0.846782,0.153218,0.1609451,160.9899,6.14E+07,6.20E+07,0.8024691,1.010101,0.9984194,0.7957019,-0.2285307,0.0100506,-0.0015818,-0.2200619,-0.2200619,-0.2184801
India,1975,8.87E+10,7.91E+10,9.65E+09,1.90E+10,1.80E+10,9.54E+08,5.75E+09,6.76E+09,1.02E+11,1.16E+10,1.00E+10,184.914,0.0036419,0.1077803,0.8445904,0.1554096,0.019826,164.1817,6.10E+07,6.28E+07,0.8495763,1.029548,1.126277,0.7326738,-0.3110547,0.02912,0.1189172,-0.1630175,-0.1630175,-0.2819347
India,1976,8.69E+10,7.69E+10,1.00E+10,1.93E+10,1.89E+10,3.64E+08,6.85E+09,6.27E+09,1.02E+11,1.39E+10,1.02E+10,199.1563,-0.0209351,0.0511776,0.8311871,0.1688129,-0.0087616,162.7432,6.27E+07,6.99E+07,1.093516,1.114212,1.223745,0.8019854,-0.2206649,0.1081474,0.2019159,0.0893984,0.0893984,-0.1125176
India,1977,1.02E+11,9.08E+10,1.10E+10,2.30E+10,2.24E+10,6.04E+08,7.60E+09,7.46E+09,1.19E+11,1.34E+10,1.30E+10,221.5059,0.1740576,0.1807011,0.8209792,0.1790208,0.1752469,191.2635,6.80E+07,6.06E+07,1.018874,0.8912,1.158119,0.98717,-0.012913,-0.1151864,0.1467972,0.0186978,0.0186978,-0.1280994
India,1978,1.18E+11,1.05E+11,1.30E+10,3.15E+10,2.67E+10,4.79E+09,8.68E+09,9.06E+09,1.38E+11,1.45E+10,1.30E+10,255.407,0.1568628,0.1923166,0.8201483,0.1798517,0.1632392,222.4852,5.85E+07,5.66E+07,0.9585074,0.9687557,1.147973,0.8618853,-0.1486331,-0.0317428,0.1379978,-0.042378,-0.042378,-0.1803759
India,1979,1.30E+11,1.15E+11,1.51E+10,3.36E+10,3.10E+10,2.61E+09,1.03E+10,1.24E+10,1.52E+11,1.61E+10,1.55E+10,282.6821,0.1016949,0.1605469,0.8156526,0.1843474,0.1125441,247.5246,6.27E+07,5.69E+07,0.8262334,0.9071425,1.142036,0.7975304,-0.2262354,-0.0974557,0.132813,-0.190878,-0.1908781,-0.3236911
India,1980,1.64E+11,1.46E+11,1.81E+10,3.88E+10,3.68E+10,1.99E+09,1.15E+10,1.73E+10,1.87E+11,1.69E+10,1.78E+10,309.0943,0.2615385,0.1890046,0.8076986,0.1923014,0.2475901,308.8092,5.75E+07,5.47E+07,0.6640924,0.9525165,1.000923,0.6965548,-0.3616088,-0.0486479,0.0009227,-0.409334,-0.4093339,-0.4102567
India,1981,1.71E+11,1.52E+11,1.92E+10,4.09E+10,3.96E+10,1.25E+09,1.18E+10,1.71E+10,2.00E+11,1.68E+10,1.95E+10,314.5769,0.0426829,0.0772495,0.8167289,0.1832711,0.049018,323.9464,6.03E+07,5.33E+07,0.6925519,0.8850103,0.9710768,0.8058429,-0.2158665,-0.122156,-0.0293497,-0.3673722,-0.3673722,-0.3380225
India,1982,1.74E+11,1.54E+11,2.08E+10,4.22E+10,4.30E+10,-7.58E+08,1.22E+10,1.66E+10,2.04E+11,1.78E+10,2.02E+10,320.6045,0.0175439,0.0834411,0.8117967,0.1882033,0.0299459,333.6473,6.05E+07,5.55E+07,0.7348119,0.9165619,0.9609085,0.8343195,-0.1811389,-0.0871257,-0.0398761,-0.3081407,-0.3081407,-0.2682646
India,1983,1.91E+11,1.68E+11,2.25E+10,4.40E+10,4.58E+10,-1.88E+09,1.30E+10,1.75E+10,2.23E+11,1.76E+10,2.46E+10,325.6277,0.0977011,0.0672961,0.8020214,0.1979786,0.0916816,364.2366,6.76E+07,5.41E+07,0.7433664,0.8002228,0.8940003,1.039093,0.038348,-0.2228651,-0.1120492,-0.2965663,-0.2965662,-0.1845171
