"","year","countryarea","cons_final","cons_final_nominal","gfcf_final_nominal","gfcf_final","nom_exports","nom_exports_dom","nom_imports","nom_imports_dom","real_exports","real_imports","DA_index","gdp_usd","gdp_dom","gdp_nom_usd","FA_components","FA","TR","RA","FMI","DMI","RMI","R","log_RA","log_TR","log_R","log_RMI","log_DMI","log_FMI","log_DA"
"1","1995","India",276014.1875,276014.19,93454.727,93454.72656,40316,1307330,44701.21875,1449530,54742.637,72373.781,100,608291,39023100,371783,NA,100,0.901899236304181,1,547.42637,723.73781,0.756387689624783,1.19237693668915,0,-0.103252476574131,0.175948740710157,-0.279201217284289,6.58442918591289,6.3052279686286,4.60517018598809
"2","1996","India",294786.9063,294786.88,96541.07,96541.07031,40880.89844,1448540,45443.85938,1610220,58185.801,70607.867,107.549511664647,654214,41969100,393647,0.039060126836737,103.906012683674,0.899591360186807,0.966122589265356,559.984927697476,656.514993951475,0.852965938107525,1.09164480032541,-0.0344645488198471,-0.105814663004004,0.0876855499822337,-0.159035664166391,6.48694553270744,6.32790986854105,4.67795131516087
"3","1997","India",318905.8125,318905.84,107875.89,107875.8984,45493.82031,1652030,50761.85938,1843330,56831.133,79928.586,111.905157235599,680709,43668800,425545,0.0400887746769679,108.071477413732,0.896220427161713,0.965741705596316,525.86616154448,714.25292608921,0.736246422431596,1.26046460286744,-0.0348588660345588,-0.10956888380604,0.231480385432766,-0.306190403204247,6.57123713783222,6.26504673462797,4.7176517021522
"4","1998","India",325249.5,325249.53,109358.2,109358.2031,47329.85938,1952800,54471.26953,2247450,64721.75,96590.172,118.825858018613,722807,46369500,429550,0.0309049932263839,111.411425691168,0.868895859752164,0.937602534910515,580.925606134942,812.871656141294,0.714658460220644,1.29673255966579,-0.0644291565468799,-0.140532000078513,0.259847684894068,-0.335950528425701,6.70057323256104,6.36462270413534,4.77765904333336
"5","1999","India",351815.5,351815.47,130851.98,130852,52884.62109,2276970,61711.60938,2657020,76371.32,103344.25,129.336781244503,786744,50471200,461791,0.0155773415547592,113.146919522262,0.856963816606574,0.874823993867338,674.974805522421,799.03217789713,0.844740455007456,1.15962750027555,-0.13373256272377,-0.154359582271518,0.148098833095947,-0.168725852643694,6.68340121766765,6.51467536502396,4.8624197097068
"6","2000","India",360381.3125,360381.28,127262.94,127262.8984,61886.08984,2781260,66202.13281,2975230,90235.398,108087.46,134.304633801914,816963,52409800,476148,0.0211150080588738,115.536017639812,0.9348050402826,0.860253398331854,781.015304520125,804.793229691675,0.970454615801552,1.11974573879913,-0.150528283912055,-0.0674172845020598,0.113101640604961,-0.0299906411949661,6.69058538689915,6.66059474570418,4.90011060629892
"7","2001","India",372450.8125,372450.78,149949.63,149949.5938,61618.80078,2907570,65919.39844,3110500,94124.109,111269.82,140.783440820265,856373,54938000,490659,0.0111212968265199,116.820927986138,0.934759684938113,0.829791680793485,805.712731636311,790.361560647288,1.0194229726664,1.10503613783287,-0.186580596689802,-0.0674658041856892,0.0998780383561082,0.0192367541480048,6.67249051246674,6.69172726661475,4.94722282899699
"8","2002","India",381215.8125,381215.84,148227.22,148227.2031,73144.14063,3555560,78168.79688,3799810,113970.19,124618.66,146.138772396764,888949,57027800,512775,0.0102497310153944,118.018311074965,0.935720470234038,0.807576997804164,965.699211943532,852.741938064613,1.13246360808205,1.02314676438756,-0.213716875113314,-0.0664384900195725,0.0228829413788879,0.124395443714854,6.74845696721081,6.87285241092566,4.98455666614142
"9","2003","India",433896.5,433896.5,175269.77,175269.7969,89608.32031,4174250,93784.28125,4368780,124891.05,141920.61,157.625873142953,958824,61510400,599470,0.027581715002863,121.273458496154,0.955472694894227,0.769375332095189,1029.8300349368,900.363672347688,1.14379340989128,1.08575648693587,-0.262176350400699,-0.0455490924822662,0.0822769670277702,0.134350290890663,6.80279876209214,6.9371490529828,5.0602243336382
"10","2004","India",483445,483445.03,225210.63,225210.5938,125572.7031,5690510,138127.5,6259450,158831.94,173420.22,170.114303844706,1034790,66383900,703129,0.0446369703277222,126.686738264587,0.909107030170382,0.7447153790209,1253.73770116551,1019.43349900965,1.22983765236622,0.992606028584014,-0.29475317518174,-0.0952924467741353,-0.00742144231911851,0.206882170726723,6.92700235886263,7.13388452958936,5.13647058666418
