"","year","country","cons_final","cons_final_nominal","gfcf_final_nominal","gfcf_final","nom_exports","nom_exports_dom","nom_imports","nom_imports_dom","real_exports","real_imports","DA_index","gdp_usd","gdp_dom","gdp_nom_usd","FA_components","FA","TR","RA","FMI","DMI","RMI","R","log_RA","log_TR","log_R","log_RMI","log_DMI","log_FMI","log_DA","log_FA"
"1","1980","India",250162,163650.015625,36801.03125,52221.01171875,11482.98046875,90290,17291.23046875,135960,16918.412109375,17745.423828125,100,276503,17738200,187033,NA,100,0.664092380111798,1,169.18412109375,177.45423828125,0.953395775341288,0.696554775349274,0,-0.409334012508527,-0.361608845136981,-0.0477251673715462,5.17871276317612,5.13098759580457,4.60517018598809,4.60517018598809
"2","1981","India",261000,171145.984375,39643.87890625,52155.12109375,11844.98046875,102560,17103.380859375,148090,16780.19921875,19525.1875,106.006083116639,293110,18803600,199544,0.0099644624253368,100.996446242534,0.692551826591937,0.952741986810388,166.146432305686,184.189311838985,0.902041658372274,0.805842892053719,-0.0484111498535254,-0.367372203877052,-0.215866478485742,-0.103094575537785,5.2159640973765,5.11286952183871,4.66349648035826,4.61508533050474
"3","1982","India",266234,174385.421875,42951.80859375,55099.94921875,12229.33984375,115630,16642.810546875,157360,17790.453125,20199.62109375,109.690672433934,303298,19457200,204391,0.0018648932137976,101.184793829749,0.734811896288765,0.922455771165886,175.821410032556,184.150763647804,0.954768834783778,0.834319495738699,-0.0807158487524553,-0.308140735939933,-0.181138861567316,-0.046286025620162,5.21575478976167,5.16946876414151,4.69766433571655,4.61694848696409
"4","1983","India",285801,190856.703125,45842.30078125,59139.53125,13010.330078125,131390,17501.91015625,176750,17627.685546875,24640.341796875,117.685884059124,325405,20875400,222870,0.0128619385584541,102.486226431037,0.743366336633663,0.870845533008437,172.000532761704,209.373808880052,0.821499755302447,1.03909277064404,-0.138290662279016,-0.296566305122951,0.0383479965276958,-0.196623639371631,5.34412121363205,5.14749757426042,4.76801907554561,4.6297284132666
"5","1984","India",295625,188566.6875,46276.73828125,60125.1484375,13945.76953125,158460,17147.509765625,194840,18914.126953125,21109.365234375,122.182399467637,337838,21673000,221946,0.0210185116444669,104.640334374675,0.813282693492096,0.856427233632713,180.753693746821,172.769280406597,1.04621431148774,0.907675065218087,-0.15498592264061,-0.206676513401246,-0.0968688221165182,0.0451782313558821,5.15195706514124,5.19713529649713,4.80551500582103,4.65052908318042
"6","1985","India",310347,193026.796875,50156.8984375,62894.4609375,12087.7197265625,149510,17587.869140625,217540,17719.716796875,24037.42578125,128.602221314054,355589,22811700,230043,0.013531332043918,106.056257484286,0.687275903282155,0.824684491454389,167.07846587459,186.912990581626,0.893883647972699,0.932314195862308,-0.192754400394959,-0.375019461439868,-0.070085401084797,-0.112179659960112,5.23064321756579,5.11846355760568,4.85672408470298,4.66396968430802
"7","1986","India",322727,213852.484375,57814.3515625,68888.1796875,13118.08984375,165430,17729.990234375,223590,18682.3203125,28143.97265625,134.74501180819,372574,23901400,252454,0.0151742303081496,107.665579560973,0.739881032246523,0.799032024385696,173.521754944159,208.868382425266,0.830770808531763,1.11459343336982,-0.224354253436219,-0.301265872942788,0.108489704667994,-0.185401324174563,5.34170430442811,5.15630298025355,4.90338419098288,4.67902993754666
"8","1987","India",335946,232779.984375,68242.75,76497.7421875,15647.1103515625,202810,19487.7109375,252590,21060.0703125,27674.46875,140.088172641888,387348,24849100,279184,0.0222609805135464,110.062320929559,0.802921730868205,0.785664620031236,191.346776395699,197.550358664076,0.968597463905768,1.05509772853984,-0.241225269684116,-0.219498040684845,0.0536333963248464,-0.0319061673255754,5.28599353241675,5.25408736509118,4.94227202895054,4.70104675926643
"9","1988","India",356542,252130.5,72723.109375,79146.359375,18619.560546875,259130,23000.509765625,320100,22633.904296875,30218.990234375,153.575548909053,424641,27241500,308515,0.0273153557558995,113.06871238107,0.80952827241487,0.736241629505936,200.178314763089,196.769540783283,1.01732368722434,1.08081781374029,-0.306196913173077,-0.211303580699328,0.077717989523114,0.0171753429506344,5.28203320019699,5.29920854314763,5.03419262125199,4.72799570807892
"10","1989","India",374433,242405.875,74716.90625,86054.8125,21330.009765625,346090,24783.2109375,402120,25345.248046875,30848.8671875,162.709265360593,449896,28861700,304014,0.0235698158306677,115.733721108103,0.860663483537253,0.711291522653095,218.99622516415,189.595024715608,1.15507369190011,1.04755311321743,-0.340672915417027,-0.150051694696758,0.0464570762708868,0.144164144449383,5.24489034852519,5.38905449297457,5.09196496011794,4.75129204470092
