"","year","country","export_nom","export_real","import_nom","import_real","gdp_nom","gdp_real","DA","FA","TR","RA","FMI","DMI","RMI","R"
"1",1980,"India",9.029e+10,1.08535e+12,1.3596e+11,1.1384e+12,1.47063e+12,1.77382e+13,4.60517018598809,4.60517018598809,-0.409334012508527,0,23.1077534455601,23.155474697734,-0.0477212521738713,-0.361612760334656
"2",1981,"India",1.0256e+11,1.07648e+12,1.4809e+11,1.25258e+12,1.72776e+12,1.88036e+13,4.64017027515155,4.64278332541258,-0.367372203877052,0.00261305026103716,23.0619342494383,23.2160562649696,-0.154122015531326,-0.215863238606763
"3",1982,"India",1.1563e+11,1.14129e+12,1.5736e+11,1.29584e+12,1.93255e+12,1.94572e+13,4.66595417690698,4.66279883876084,-0.308140735939933,-0.0031553381461406,23.1003814787686,23.2242260725401,-0.123844593771512,-0.181140804022281
"4",1983,"India",1.3139e+11,1.13085e+12,1.7675e+11,1.58073e+12,2.25074e+12,2.08754e+13,4.73684726683343,4.66500945432367,-0.296566305122951,-0.0718378125097583,23.0889812239486,23.3520606147496,-0.263079390801057,0.038350898187864
"5",1984,"India",1.5846e+11,1.21338e+12,1.9484e+11,1.35421e+12,2.52188e+12,2.1673e+13,4.76770264738238,4.68345362176603,-0.206676513401246,-0.0842490256163543,23.1409773479419,23.1665367270219,-0.0255593790800276,-0.0968681087048641
"6",1985,"India",1.4951e+11,1.13675e+12,2.1754e+11,1.54205e+12,2.84534e+12,2.28117e+13,4.8157015968426,4.70664967201614,-0.375019461439868,-0.109051924826462,23.0525447576354,23.2484322191229,-0.195887461487531,-0.070080075125875
"7",1986,"India",1.6543e+11,1.19851e+12,2.2359e+11,1.80549e+12,3.18366e+12,2.39014e+13,4.86375167190495,4.73325796506054,-0.301265872942788,-0.13049370684441,23.0788422694885,23.3581014671117,-0.27925919762314,0.108487031524762
"8",1987,"India",2.0281e+11,1.35104e+12,2.5259e+11,1.77537e+12,3.61865e+12,2.48491e+13,4.91557486212283,4.754472685181,-0.219498040684845,-0.161102176941835,23.1774230969853,23.2894551057145,-0.112032008729176,0.0536361449861665
"9",1988,"India",2.5913e+11,1.45201e+12,3.201e+11,1.93861e+12,4.29363e+12,2.72415e+13,4.97040304872196,4.80235103357543,-0.211303580699328,-0.168052015146523,23.2016188857843,23.3225892886314,-0.120970402847017,0.0777188372942119
"10",1989,"India",3.4609e+11,1.62595e+12,4.0212e+11,1.97901e+12,4.93278e+12,2.88617e+13,5.02576069564541,4.83925213834798,-0.150051694696758,-0.186508557297427,23.2778612379259,23.2878571399479,-0.00999590202201943,0.0464527646226883
"11",1990,"India",4.0635e+11,1.8065e+12,4.8698e+11,2.04562e+12,5.76109e+12,3.04587e+13,5.08953308565734,4.87593965720902,-0.181008197278265,-0.213593428448317,23.3464727303251,23.2571889523008,0.0892837780243115,-0.0566985468542601
"12",1991,"India",5.6254e+11,1.98105e+12,5.6249e+11,2.04594e+12,6.6226e+12,3.07806e+13,5.08829782414334,4.88957387124066,8.88865186401805e-05,-0.198723952902678,23.4250742518637,23.2585806333714,0.166493618492227,0.0323192209290913
"13",1992,"India",6.7312e+11,2.07799e+12,7.3e+11,2.4782e+12,7.61196e+12,3.24682e+13,5.12936991784134,4.91505746856012,-0.081120914300226,-0.214312449281215,23.4473647277143,23.4091836882875,0.0381810394268777,0.0950104955541111
"14",1993,"India",8.6147e+11,2.36432e+12,8.5999e+11,2.95568e+12,8.75992e+12,3.40106e+13,5.16369044289924,4.9212124677918,0.00171947110550927,-0.242477975107438,23.5702991023099,23.5510594158575,0.0192396864524341,0.224957759760513
"15",1994,"India",1.01607e+12,2.67272e+12,1.0471e+12,3.62372e+12,1.02757e+13,3.62754e+13,5.20892687430504,4.950093881251,-0.0300821938905271,-0.258832993054043,23.6640239151317,23.7095953641262,-0.0455714489944899,0.274322248158006
"16",1995,"India",1.30733e+12,3.51185e+12,1.44953e+12,4.64292e+12,1.20558e+13,3.90231e+13,5.2808040026437,4.98269950919687,-0.103252476574131,-0.298104493446835,23.9044645708863,23.8855605919351,0.0189039789511536,0.17594803792155
"17",1996,"India",1.44854e+12,3.73273e+12,1.61022e+12,4.52963e+12,1.39482e+13,4.19691e+13,5.34656345204557,5.01666510617319,-0.105814663004004,-0.329898345872373,23.9314958791856,23.7950979223379,0.136397956847671,0.0876857260206982
"18",1997,"India",1.65203e+12,3.64583e+12,1.84333e+12,5.12757e+12,1.54529e+13,4.36688e+13,5.39648810847757,5.0474670992062,-0.10956888380604,-0.349021009271365,23.8771380654518,23.8691648701993,0.00797319525251048,0.231478930212815
"19",1998,"India",1.9528e+12,4.15203e+12,2.24745e+12,6.19645e+12,1.7723e+13,4.63695e+13,5.47361609216255,5.05257070984352,-0.140532000078513,-0.421045382319034,24.002047777356,23.981381571185,0.0206662061710575,0.259847176069464
"20",1999,"India",2.27697e+12,4.89937e+12,2.65702e+12,6.62973e+12,1.98826e+13,5.04712e+13,5.56798599479935,5.07626720640404,-0.154359582271518,-0.491718788395307,24.1438605349465,23.9545992005158,0.189261334430675,0.148097871693114
"21",2000,"India",2.78126e+12,5.78878e+12,2.97523e+12,6.93402e+12,2.13989e+13,5.24098e+13,5.58699103524561,5.1072386992014,-0.0674172845020598,-0.479752336044212,24.2797039779925,23.9804698122797,0.299234165712881,0.113100885829271
"22",2001,"India",2.90757e+12,6.03824e+12,3.1105e+12,7.13818e+12,2.31524e+13,5.4938e+13,5.6725634192786,5.13157608327315,-0.0674658041856892,-0.540987336005453,24.2975576114111,23.9239155385476,0.37364207286349,0.0998794589562735
"23",2002,"India",3.55556e+12,7.31141e+12,3.79981e+12,7.99453e+12,2.49261e+13,5.70278e+13,5.68846979574125,5.15587467803049,-0.0664384900195725,-0.532595117710757,24.4645825795165,24.0213088780035,0.443273701512956,0.0228829261782288
"24",2003,"India",4.17425e+12,8.012e+12,4.36878e+12,9.10448e+12,2.79253e+13,6.15104e+13,5.74419610639614,5.18372131447384,-0.0455490924822662,-0.560474791922299,24.5282402192583,24.0955916096038,0.432648609654433,0.0822770897856005
"25",2004,"India",5.69051e+12,1.01894e+13,6.25945e+12,1.11252e+13,3.18633e+13,6.63839e+13,5.81183956285503,5.22373781223556,-0.0952924467741353,-0.588101750619472,24.7286312679379,24.2283943584923,0.500236909445603,-0.007427605600266
"26",2005,"India",7.12087e+12,1.28473e+13,8.13466e+12,1.47153e+13,3.63213e+13,7.16438e+13,5.90426391526588,5.26274539674886,-0.133104036112973,-0.641518518517018,24.9214093917118,24.4156449695001,0.505764422211662,0.00265006019238242
"27",2006,"India",9.04872e+12,1.54673e+13,1.04054e+13,1.78798e+13,4.25463e+13,7.74188e+13,5.97447932803775,5.31399071746284,-0.139701590918239,-0.660488610574903,25.0557585164673,24.5402133718913,0.515545144576026,0.00524187508063808
"28",2007,"India",1.01891e+13,1.63747e+13,1.21911e+13,1.96591e+13,4.89866e+13,8.33497e+13,6.06930068429209,5.370138846757,-0.179387655872078,-0.699161837535092,25.0566197299144,24.5402607670777,0.516358962836639,0.00341521882637513
