"","year","country","export_nom","export_real","import_nom","import_real","gdp_nom","gdp_real","DA","FA","TR","RA","FMI","DMI","RMI","R"
"1",1995,"India",1.30733e+12,3.51185e+12,1.44953e+12,4.64292e+12,1.20558e+13,3.90231e+13,4.60517018598809,4.60517018598809,-0.103252476574131,0,24.281993894095,24.5611944085907,-0.279200514495681,0.17594803792155
"2",1996,"India",1.44854e+12,3.73273e+12,1.61022e+12,4.52963e+12,1.39482e+13,4.19691e+13,4.67092963538995,4.642777338788,-0.105814663004004,-0.0281522966019559,24.3053836465708,24.4707317389935,-0.165348092422746,0.0876857260206982
"3",1997,"India",1.65203e+12,3.64583e+12,1.84333e+12,5.12757e+12,1.54529e+13,4.36688e+13,4.72085429182196,4.68094380890424,-0.10956888380604,-0.0399104829177145,24.2436613557538,24.5447986868549,-0.30113733110114,0.231478930212815
"4",1998,"India",1.9528e+12,4.15203e+12,2.24745e+12,6.19645e+12,1.7723e+13,4.63695e+13,4.79798227550694,4.68147489054148,-0.140532000078513,-0.116507384965454,24.3731435966581,24.6570153878406,-0.283871791182522,0.259847176069464
"5",1999,"India",2.27697e+12,4.89937e+12,2.65702e+12,6.62973e+12,1.98826e+13,5.04712e+13,4.89235217814374,4.71187578662041,-0.154359582271518,-0.180476391523332,24.5082519547301,24.6302330171714,-0.1219810624413,0.148097871693114
"6",2000,"India",2.78126e+12,5.78878e+12,2.97523e+12,6.93402e+12,2.13989e+13,5.24098e+13,4.91135721859,4.76480572620227,-0.0674172845020598,-0.146551492387723,24.6221369509917,24.6561036289353,-0.0339666779436075,0.113100885829271
"7",2001,"India",2.90757e+12,6.03824e+12,3.1105e+12,7.13818e+12,2.31524e+13,5.4938e+13,4.99692960262299,4.80088244593768,-0.0674658041856892,-0.196047156685313,24.6282512487466,24.5995493552032,0.0287018935433502,0.0998794589562735
"8",2002,"India",3.55556e+12,7.31141e+12,3.79981e+12,7.99453e+12,2.49261e+13,5.70278e+13,5.01283597908563,4.83414086434909,-0.0664384900195725,-0.178695114736546,24.7863163931979,24.6969426946591,0.0893736985387452,0.0228829261782288
"9",2003,"India",4.17425e+12,8.012e+12,4.36878e+12,9.10448e+12,2.79253e+13,6.15104e+13,5.06856228974053,4.86483511120919,-0.0455490924822662,-0.203727178531339,24.8471264225229,24.7712254262595,0.0759009962634724,0.0822770897856005
"10",2004,"India",5.69051e+12,1.01894e+13,6.25945e+12,1.11252e+13,3.18633e+13,6.63839e+13,5.13620574619942,4.91295226854657,-0.0952924467741353,-0.223253477652851,25.0394168116269,24.9040281751479,0.135388636478982,-0.007427605600266
"11",2005,"India",7.12087e+12,1.28473e+13,8.13466e+12,1.47153e+13,3.63213e+13,7.16438e+13,5.22863009861027,4.96413932855316,-0.133104036112973,-0.264490770057108,25.2200154599075,25.0912787861557,0.128736673751753,0.00265006019238242
"12",2006,"India",9.04872e+12,1.54673e+13,1.04054e+13,1.78798e+13,4.25463e+13,7.74188e+13,5.29884551138213,5.02950188813072,-0.139701590918239,-0.269343623251419,25.3402473457994,25.2158471885469,0.124400157252541,0.00524187508063808
"13",2007,"India",1.01891e+13,1.63747e+13,1.21911e+13,1.96591e+13,4.89866e+13,8.33497e+13,5.39366686763648,5.10894053950283,-0.179387655872078,-0.284726328133649,25.3178180371685,25.2158945837333,0.101923453435196,0.00341521882637513
"14",2008,"India",1.32877e+13,1.87946e+13,1.61404e+13,2.40723e+13,5.51415e+13,8.59224e+13,5.44312288220805,5.15515439501012,-0.194486650387018,-0.287968487197938,25.4094363154522,25.3689600355827,0.0404762798694398,0.0530055569414805
"15",2009,"India",1.29878e+13,1.7886e+13,1.64714e+13,2.36087e+13,6.36641e+13,9.26776e+13,5.51581988447944,5.1216985828682,-0.237615088320471,-0.394121301611239,25.3933408169843,25.2768165196159,0.116524297368397,0.0399819159223712
"16",2010,"India",1.71019e+13,2.13699e+13,2.05018e+13,2.73417e+13,7.63447e+13,1.00553e+14,5.59592589972015,5.14614331158054,-0.181323118720446,-0.449782588139606,25.5468611942109,25.3435082255272,0.203352968683712,0.0651065007354483
"17",2011,"India",2.14393e+13,2.46807e+13,2.71555e+13,3.29226e+13,8.73633e+13,1.05823e+14,5.67912918533704,5.18954692237761,-0.236353917716743,-0.489582262959432,25.6474957552329,25.4460512826255,0.201444472607368,0.0517838726353208
"18",2012,"India",2.43971e+13,2.63604e+13,3.10843e+13,3.49052e+13,9.94401e+13,1.11597e+14,5.72507695046022,5.20806018540553,-0.242238595791329,-0.517016765054687,25.694823814549,25.4585799807124,0.236243833836609,0.0385343354267488
